Component,Component URL,ISIN,Trading Location,Issuer Country
ABG SUNDAL COLLIER,https://live.euronext.com/en/product/equities/NO0003021909-XOSL,NO0003021909,Oslo Boers,Norway
ADEVINTA,https://live.euronext.com/en/product/equities/NO0010844038-XOSL,NO0010844038,Oslo Boers,Norway
AF GRUPPEN,https://live.euronext.com/en/product/equities/NO0003078107-XOSL,NO0003078107,Oslo Boers,Norway
AKER,https://live.euronext.com/en/product/equities/NO0010234552-XOSL,NO0010234552,Oslo Boers,Norway
AKER BP,https://live.euronext.com/en/product/equities/NO0010345853-XOSL,NO0010345853,Oslo Boers,Norway
AKER CARBON CAPTUR,https://live.euronext.com/en/product/equities/NO0010890304-XOSL,NO0010890304,Oslo Boers,Norway
AKER HORIZONS,https://live.euronext.com/en/product/equities/NO0010921232-XOSL,NO0010921232,Oslo Boers,Norway
AKER SOLUTIONS,https://live.euronext.com/en/product/equities/NO0010716582-XOSL,NO0010716582,Oslo Boers,Norway
ARCTICZYMES TECHNO,https://live.euronext.com/en/product/equities/NO0010014632-XOSL,NO0010014632,Oslo Boers,Norway
ARENDALS FOSSEKOMP,https://live.euronext.com/en/product/equities/NO0003572802-XOSL,NO0003572802,Oslo Boers,Norway
ATEA,https://live.euronext.com/en/product/equities/NO0004822503-XOSL,NO0004822503,Oslo Boers,Norway
AUTOSTORE HOLDINGS,https://live.euronext.com/en/product/equities/BMG0670A1099-XOSL,BMG0670A1099,Oslo Boers,Bermuda
B2HOLDING,https://live.euronext.com/en/product/equities/NO0010633951-XOSL,NO0010633951,Oslo Boers,Norway
BAKKAFROST,https://live.euronext.com/en/product/equities/FO0000000179-XOSL,FO0000000179,Oslo Boers,Faroe Islands
BONHEUR,https://live.euronext.com/en/product/equities/NO0003110603-XOSL,NO0003110603,Oslo Boers,Norway
BORR DRILLING,https://live.euronext.com/en/product/equities/BMG1466R1732-XOSL,BMG1466R1732,Oslo Boers,Bermuda
BORREGAARD,https://live.euronext.com/en/product/equities/NO0010657505-XOSL,NO0010657505,Oslo Boers,Norway
BOUVET,https://live.euronext.com/en/product/equities/NO0010360266-XOSL,NO0010360266,Oslo Boers,Norway
BW LPG,https://live.euronext.com/en/product/equities/BMG173841013-XOSL,BMG173841013,Oslo Boers,Bermuda
CADELER,https://live.euronext.com/en/product/equities/DK0061412772-XOSL,DK0061412772,Oslo Boers,Denmark
CLOUDBERRY CLEAN,https://live.euronext.com/en/product/equities/NO0010876642-XOSL,NO0010876642,Oslo Boers,Norway
CRAYON GROUP HOLD,https://live.euronext.com/en/product/equities/NO0010808892-XOSL,NO0010808892,Oslo Boers,Norway
DNB BANK,https://live.euronext.com/en/product/equities/NO0010161896-XOSL,NO0010161896,Oslo Boers,Norway
DNO,https://live.euronext.com/en/product/equities/NO0003921009-XOSL,NO0003921009,Oslo Boers,Norway
ELKEM,https://live.euronext.com/en/product/equities/NO0010816093-XOSL,NO0010816093,Oslo Boers,Norway
ELMERA GROUP,https://live.euronext.com/en/product/equities/NO0010815673-XOSL,NO0010815673,Oslo Boers,Norway
ENTRA,https://live.euronext.com/en/product/equities/NO0010716418-XOSL,NO0010716418,Oslo Boers,Norway
EQUINOR,https://live.euronext.com/en/product/equities/NO0010096985-XOSL,NO0010096985,Oslo Boers,Norway
EUROPRIS,https://live.euronext.com/en/product/equities/NO0010735343-XOSL,NO0010735343,Oslo Boers,Norway
FLEX LNG,https://live.euronext.com/en/product/equities/BMG359472021-XOSL,BMG359472021,Oslo Boers,Bermuda
FRONTLINE,https://live.euronext.com/en/product/equities/CY0200352116-XOSL,CY0200352116,Oslo Boers,Cyprus
GJENSIDIGE FORSIKR,https://live.euronext.com/en/product/equities/NO0010582521-XOSL,NO0010582521,Oslo Boers,Norway
GOLDEN OCEAN GROUP,https://live.euronext.com/en/product/equities/BMG396372051-XOSL,BMG396372051,Oslo Boers,Bermuda
HAFNIA LIMITED,https://live.euronext.com/en/product/equities/BMG4233B1090-XOSL,BMG4233B1090,Oslo Boers,Bermuda
HEXAGON COMPOSITES,https://live.euronext.com/en/product/equities/NO0003067902-XOSL,NO0003067902,Oslo Boers,Norway
HEXAGON PURUS,https://live.euronext.com/en/product/equities/NO0010904923-XOSL,NO0010904923,Oslo Boers,Norway
KAHOOT!,https://live.euronext.com/en/product/equities/NO0010823131-XOSL,NO0010823131,Oslo Boers,Norway
KID,https://live.euronext.com/en/product/equities/NO0010743545-XOSL,NO0010743545,Oslo Boers,Norway
KITRON,https://live.euronext.com/en/product/equities/NO0003079709-XOSL,NO0003079709,Oslo Boers,Norway
KONGSBERG AUTOMOT,https://live.euronext.com/en/product/equities/NO0003033102-XOSL,NO0003033102,Oslo Boers,Norway
KONGSBERG GRUPPEN,https://live.euronext.com/en/product/equities/NO0003043309-XOSL,NO0003043309,Oslo Boers,Norway
LERØY SEAFOOD GP,https://live.euronext.com/en/product/equities/NO0003096208-XOSL,NO0003096208,Oslo Boers,Norway
MOWI,https://live.euronext.com/en/product/equities/NO0003054108-XOSL,NO0003054108,Oslo Boers,Norway
MPC CONTAINER SHIP,https://live.euronext.com/en/product/equities/NO0010791353-XOSL,NO0010791353,Oslo Boers,Norway
NEL,https://live.euronext.com/en/product/equities/NO0010081235-XOSL,NO0010081235,Oslo Boers,Norway
NORDIC SEMICONDUC,https://live.euronext.com/en/product/equities/NO0003055501-XOSL,NO0003055501,Oslo Boers,Norway
NORSK HYDRO,https://live.euronext.com/en/product/equities/NO0005052605-XOSL,NO0005052605,Oslo Boers,Norway
NORWEGIAN AIR SHUT,https://live.euronext.com/en/product/equities/NO0010196140-XOSL,NO0010196140,Oslo Boers,Norway
NYKODE THERAPEUTIC,https://live.euronext.com/en/product/equities/NO0010714785-XOSL,NO0010714785,Oslo Boers,Norway
ORKLA,https://live.euronext.com/en/product/equities/NO0003733800-XOSL,NO0003733800,Oslo Boers,Norway
PGS,https://live.euronext.com/en/product/equities/NO0010199151-XOSL,NO0010199151,Oslo Boers,Norway
PHOTOCURE,https://live.euronext.com/en/product/equities/NO0010000045-XOSL,NO0010000045,Oslo Boers,Norway
REC SILICON,https://live.euronext.com/en/product/equities/NO0010112675-XOSL,NO0010112675,Oslo Boers,Norway
SALMAR,https://live.euronext.com/en/product/equities/NO0010310956-XOSL,NO0010310956,Oslo Boers,Norway
SCATEC,https://live.euronext.com/en/product/equities/NO0010715139-XOSL,NO0010715139,Oslo Boers,Norway
SCHIBSTED SER. A,https://live.euronext.com/en/product/equities/NO0003028904-XOSL,NO0003028904,Oslo Boers,Norway
SCHIBSTED SER. B,https://live.euronext.com/en/product/equities/NO0010736879-XOSL,NO0010736879,Oslo Boers,Norway
SPAREBANK 1 SR-BK,https://live.euronext.com/en/product/equities/NO0010631567-XOSL,NO0010631567,Oslo Boers,Norway
STOLT-NIELSEN,https://live.euronext.com/en/product/equities/BMG850801025-XOSL,BMG850801025,Oslo Boers,Bermuda
STOREBRAND,https://live.euronext.com/en/product/equities/NO0003053605-XOSL,NO0003053605,Oslo Boers,Norway
SUBSEA 7,https://live.euronext.com/en/product/equities/LU0075646355-XOSL,LU0075646355,Oslo Boers,Luxembourg
TELENOR,https://live.euronext.com/en/product/equities/NO0010063308-XOSL,NO0010063308,Oslo Boers,Norway
TGS,https://live.euronext.com/en/product/equities/NO0003078800-XOSL,NO0003078800,Oslo Boers,Norway
TOMRA SYSTEMS,https://live.euronext.com/en/product/equities/NO0012470089-XOSL,NO0012470089,Oslo Boers,Norway
ULTIMOVACS,https://live.euronext.com/en/product/equities/NO0010851603-XOSL,NO0010851603,Oslo Boers,Norway
VÅR ENERGI,https://live.euronext.com/en/product/equities/NO0011202772-XOSL,NO0011202772,Oslo Boers,Norway
VEIDEKKE,https://live.euronext.com/en/product/equities/NO0005806802-XOSL,NO0005806802,Oslo Boers,Norway
WALLENIUS WILHELMS,https://live.euronext.com/en/product/equities/NO0010571680-XOSL,NO0010571680,Oslo Boers,Norway
YARA INTERNATIONAL,https://live.euronext.com/en/product/equities/NO0010208051-XOSL,NO0010208051,Oslo Boers,Norway
