Component,Component URL,ISIN,Trading Location,Issuer Country
ALTRI SGPS,https://live.euronext.com/en/product/equities/PTALT0AE0002-XLIS,PTALT0AE0002,Euronext Lisbon,Portugal
B.COM.PORTUGUES,https://live.euronext.com/en/product/equities/PTBCP0AM0015-XLIS,PTBCP0AM0015,Euronext Lisbon,Portugal
CORTICEIRA AMORIM,https://live.euronext.com/en/product/equities/PTCOR0AE0006-XLIS,PTCOR0AE0006,Euronext Lisbon,Portugal
CTT CORREIOS PORT,https://live.euronext.com/en/product/equities/PTCTT0AM0001-XLIS,PTCTT0AM0001,Euronext Lisbon,Portugal
EDP,https://live.euronext.com/en/product/equities/PTEDP0AM0009-XLIS,PTEDP0AM0009,Euronext Lisbon,Portugal
EDP RENOVAVEIS,https://live.euronext.com/en/product/equities/ES0127797019-XLIS,ES0127797019,Euronext Lisbon,Spain
GALP ENERGIA-NOM,https://live.euronext.com/en/product/equities/PTGAL0AM0009-XLIS,PTGAL0AM0009,Euronext Lisbon,Portugal
GREENVOLT,https://live.euronext.com/en/product/equities/PTGNV0AM0001-XLIS,PTGNV0AM0001,Euronext Lisbon,Portugal
"IBERSOL,SGPS",https://live.euronext.com/en/product/equities/PTIBS0AM0008-XLIS,PTIBS0AM0008,Euronext Lisbon,Portugal
"J.MARTINS,SGPS",https://live.euronext.com/en/product/equities/PTJMT0AE0001-XLIS,PTJMT0AE0001,Euronext Lisbon,Portugal
MOTA ENGIL,https://live.euronext.com/en/product/equities/PTMEN0AE0005-XLIS,PTMEN0AE0005,Euronext Lisbon,Portugal
"NOS, SGPS",https://live.euronext.com/en/product/equities/PTZON0AM0006-XLIS,PTZON0AM0006,Euronext Lisbon,Portugal
REN,https://live.euronext.com/en/product/equities/PTREL0AM0008-XLIS,PTREL0AM0008,Euronext Lisbon,Portugal
SEMAPA,https://live.euronext.com/en/product/equities/PTSEM0AM0004-XLIS,PTSEM0AM0004,Euronext Lisbon,Portugal
SONAE,https://live.euronext.com/en/product/equities/PTSON0AM0001-XLIS,PTSON0AM0001,Euronext Lisbon,Portugal
THE NAVIGATOR COMP,https://live.euronext.com/en/product/equities/PTPTI0AM0006-XLIS,PTPTI0AM0006,Euronext Lisbon,Portugal
