Component,Component URL,ISIN,Trading Location,Issuer Country
AB INBEV,https://live.euronext.com/en/product/equities/BE0974293251-XBRU,BE0974293251,Euronext Brussels,Belgium
ACKERMANS V.HAAREN,https://live.euronext.com/en/product/equities/BE0003764785-XBRU,BE0003764785,Euronext Brussels,Belgium
AEDIFICA,https://live.euronext.com/en/product/equities/BE0003851681-XBRU,BE0003851681,Euronext Brussels,Belgium
AGEAS,https://live.euronext.com/en/product/equities/BE0974264930-XBRU,BE0974264930,Euronext Brussels,Belgium
APERAM,https://live.euronext.com/en/product/equities/LU0569974404-XAMS,LU0569974404,Euronext Amsterdam,Luxembourg
ARGENX SE,https://live.euronext.com/en/product/equities/NL0010832176-XBRU,NL0010832176,Euronext Brussels,Netherlands
BARCO,https://live.euronext.com/en/product/equities/BE0974362940-XBRU,BE0974362940,Euronext Brussels,Belgium
COFINIMMO,https://live.euronext.com/en/product/equities/BE0003593044-XBRU,BE0003593044,Euronext Brussels,Belgium
D'IETEREN GROUP,https://live.euronext.com/en/product/equities/BE0974259880-XBRU,BE0974259880,Euronext Brussels,Belgium
ELIA GROUP,https://live.euronext.com/en/product/equities/BE0003822393-XBRU,BE0003822393,Euronext Brussels,Belgium
GALAPAGOS,https://live.euronext.com/en/product/equities/BE0003818359-XAMS,BE0003818359,Euronext Amsterdam,Belgium
GBL,https://live.euronext.com/en/product/equities/BE0003797140-XBRU,BE0003797140,Euronext Brussels,Belgium
KBC,https://live.euronext.com/en/product/equities/BE0003565737-XBRU,BE0003565737,Euronext Brussels,Belgium
MELEXIS,https://live.euronext.com/en/product/equities/BE0165385973-XBRU,BE0165385973,Euronext Brussels,Belgium
PROXIMUS,https://live.euronext.com/en/product/equities/BE0003810273-XBRU,BE0003810273,Euronext Brussels,Belgium
SOFINA,https://live.euronext.com/en/product/equities/BE0003717312-XBRU,BE0003717312,Euronext Brussels,Belgium
SOLVAY,https://live.euronext.com/en/product/equities/BE0003470755-XBRU,BE0003470755,Euronext Brussels,Belgium
UCB,https://live.euronext.com/en/product/equities/BE0003739530-XBRU,BE0003739530,Euronext Brussels,Belgium
UMICORE,https://live.euronext.com/en/product/equities/BE0974320526-XBRU,BE0974320526,Euronext Brussels,Belgium
WDP,https://live.euronext.com/en/product/equities/BE0974349814-XBRU,BE0974349814,Euronext Brussels,Belgium
