Company Name
"Coriats Trust Company
Limited"
Equity Limited
Compass Trust Ltd. Formerly Hallmark Trust Limited
M & S Trust Company Limited
Meridian Trust Company Limited
Sovereign Trust (TCI) Limited
Temple Trust Company Limited
Lighthouse Capital Corporation Formerly The Chartered Trust Company Limited
