Component,Component URL,ISIN,Trading Location,Issuer Country
ABN AMRO BANK N.V.,https://live.euronext.com/en/product/equities/NL0011540547-XAMS,NL0011540547,Euronext Amsterdam,Netherlands
ADYEN,https://live.euronext.com/en/product/equities/NL0012969182-XAMS,NL0012969182,Euronext Amsterdam,Netherlands
AEGON,https://live.euronext.com/en/product/equities/NL0000303709-XAMS,NL0000303709,Euronext Amsterdam,Netherlands
AKZO NOBEL,https://live.euronext.com/en/product/equities/NL0013267909-XAMS,NL0013267909,Euronext Amsterdam,Netherlands
ARCELORMITTAL SA,https://live.euronext.com/en/product/equities/LU1598757687-XAMS,LU1598757687,Euronext Amsterdam,Luxembourg
ASM INTERNATIONAL,https://live.euronext.com/en/product/equities/NL0000334118-XAMS,NL0000334118,Euronext Amsterdam,Netherlands
ASML HOLDING,https://live.euronext.com/en/product/equities/NL0010273215-XAMS,NL0010273215,Euronext Amsterdam,Netherlands
ASR NEDERLAND,https://live.euronext.com/en/product/equities/NL0011872643-XAMS,NL0011872643,Euronext Amsterdam,Netherlands
BE SEMICONDUCTOR,https://live.euronext.com/en/product/equities/NL0012866412-XAMS,NL0012866412,Euronext Amsterdam,Netherlands
DSM FIRMENICH AG,https://live.euronext.com/en/product/equities/CH1216478797-XAMS,CH1216478797,Euronext Amsterdam,Switzerland
EXOR NV,https://live.euronext.com/en/product/equities/NL0012059018-XAMS,NL0012059018,Euronext Amsterdam,Netherlands
HEINEKEN,https://live.euronext.com/en/product/equities/NL0000009165-XAMS,NL0000009165,Euronext Amsterdam,Netherlands
IMCD,https://live.euronext.com/en/product/equities/NL0010801007-XAMS,NL0010801007,Euronext Amsterdam,Netherlands
ING GROEP N.V.,https://live.euronext.com/en/product/equities/NL0011821202-XAMS,NL0011821202,Euronext Amsterdam,Netherlands
PHILIPS KON,https://live.euronext.com/en/product/equities/NL0000009538-XAMS,NL0000009538,Euronext Amsterdam,Netherlands
AHOLD DEL,https://live.euronext.com/en/product/equities/NL0011794037-XAMS,NL0011794037,Euronext Amsterdam,Netherlands
KPN KON,https://live.euronext.com/en/product/equities/NL0000009082-XAMS,NL0000009082,Euronext Amsterdam,Netherlands
NN GROUP,https://live.euronext.com/en/product/equities/NL0010773842-XAMS,NL0010773842,Euronext Amsterdam,Netherlands
PROSUS,https://live.euronext.com/en/product/equities/NL0013654783-XAMS,NL0013654783,Euronext Amsterdam,Netherlands
RANDSTAD NV,https://live.euronext.com/en/product/equities/NL0000379121-XAMS,NL0000379121,Euronext Amsterdam,Netherlands
RELX,https://live.euronext.com/en/product/equities/GB00B2B0DG97-XAMS,GB00B2B0DG97,Euronext Amsterdam,United Kingdom
SHELL PLC,https://live.euronext.com/en/product/equities/GB00BP6MXD84-XAMS,GB00BP6MXD84,Euronext Amsterdam,United Kingdom
UNILEVER,https://live.euronext.com/en/product/equities/GB00B10RZP78-XAMS,GB00B10RZP78,Euronext Amsterdam,United Kingdom
UMG,https://live.euronext.com/en/product/equities/NL0015000IY2-XAMS,NL0015000IY2,Euronext Amsterdam,Netherlands
WOLTERS KLUWER,https://live.euronext.com/en/product/equities/NL0000395903-XAMS,NL0000395903,Euronext Amsterdam,Netherlands
