Component,Component URL,ISIN,Trading Location,Issuer Country
AIR LIQUIDE,https://live.euronext.com/en/product/equities/FR0000120073-XPAR,FR0000120073,Euronext Paris,France
AIRBUS,https://live.euronext.com/en/product/equities/NL0000235190-XPAR,NL0000235190,Euronext Paris,Netherlands
ALSTOM,https://live.euronext.com/en/product/equities/FR0010220475-XPAR,FR0010220475,Euronext Paris,France
ARCELORMITTAL SA,https://live.euronext.com/en/product/equities/LU1598757687-XAMS,LU1598757687,Euronext Amsterdam,Luxembourg
AXA,https://live.euronext.com/en/product/equities/FR0000120628-XPAR,FR0000120628,Euronext Paris,France
BNP PARIBAS ACT.A,https://live.euronext.com/en/product/equities/FR0000131104-XPAR,FR0000131104,Euronext Paris,France
BOUYGUES,https://live.euronext.com/en/product/equities/FR0000120503-XPAR,FR0000120503,Euronext Paris,France
CAPGEMINI,https://live.euronext.com/en/product/equities/FR0000125338-XPAR,FR0000125338,Euronext Paris,France
CARREFOUR,https://live.euronext.com/en/product/equities/FR0000120172-XPAR,FR0000120172,Euronext Paris,France
CREDIT AGRICOLE,https://live.euronext.com/en/product/equities/FR0000045072-XPAR,FR0000045072,Euronext Paris,France
DANONE,https://live.euronext.com/en/product/equities/FR0000120644-XPAR,FR0000120644,Euronext Paris,France
DASSAULT SYSTEMES,https://live.euronext.com/en/product/equities/FR0014003TT8-XPAR,FR0014003TT8,Euronext Paris,France
EDENRED,https://live.euronext.com/en/product/equities/FR0010908533-XPAR,FR0010908533,Euronext Paris,France
ENGIE,https://live.euronext.com/en/product/equities/FR0010208488-XPAR,FR0010208488,Euronext Paris,France
ESSILORLUXOTTICA,https://live.euronext.com/en/product/equities/FR0000121667-XPAR,FR0000121667,Euronext Paris,France
EUROFINS SCIENT.,https://live.euronext.com/en/product/equities/FR0014000MR3-XPAR,FR0014000MR3,Euronext Paris,France
HERMES INTL,https://live.euronext.com/en/product/equities/FR0000052292-XPAR,FR0000052292,Euronext Paris,France
KERING,https://live.euronext.com/en/product/equities/FR0000121485-XPAR,FR0000121485,Euronext Paris,France
L'OREAL,https://live.euronext.com/en/product/equities/FR0000120321-XPAR,FR0000120321,Euronext Paris,France
LEGRAND,https://live.euronext.com/en/product/equities/FR0010307819-XPAR,FR0010307819,Euronext Paris,France
LVMH,https://live.euronext.com/en/product/equities/FR0000121014-XPAR,FR0000121014,Euronext Paris,France
MICHELIN,https://live.euronext.com/en/product/equities/FR001400AJ45-XPAR,FR001400AJ45,Euronext Paris,France
ORANGE,https://live.euronext.com/en/product/equities/FR0000133308-XPAR,FR0000133308,Euronext Paris,France
PERNOD RICARD,https://live.euronext.com/en/product/equities/FR0000120693-XPAR,FR0000120693,Euronext Paris,France
PUBLICIS GROUPE SA,https://live.euronext.com/en/product/equities/FR0000130577-XPAR,FR0000130577,Euronext Paris,France
RENAULT,https://live.euronext.com/en/product/equities/FR0000131906-XPAR,FR0000131906,Euronext Paris,France
SAFRAN,https://live.euronext.com/en/product/equities/FR0000073272-XPAR,FR0000073272,Euronext Paris,France
SAINT GOBAIN,https://live.euronext.com/en/product/equities/FR0000125007-XPAR,FR0000125007,Euronext Paris,France
SANOFI,https://live.euronext.com/en/product/equities/FR0000120578-XPAR,FR0000120578,Euronext Paris,France
SCHNEIDER ELECTRIC,https://live.euronext.com/en/product/equities/FR0000121972-XPAR,FR0000121972,Euronext Paris,France
SOCIETE GENERALE,https://live.euronext.com/en/product/equities/FR0000130809-XPAR,FR0000130809,Euronext Paris,France
STELLANTIS NV,https://live.euronext.com/en/product/equities/NL00150001Q9-XPAR,NL00150001Q9,Euronext Paris,Netherlands
STMICROELECTRONICS,https://live.euronext.com/en/product/equities/NL0000226223-XPAR,NL0000226223,Euronext Paris,Netherlands
TELEPERFORMANCE,https://live.euronext.com/en/product/equities/FR0000051807-XPAR,FR0000051807,Euronext Paris,France
THALES,https://live.euronext.com/en/product/equities/FR0000121329-XPAR,FR0000121329,Euronext Paris,France
TOTALENERGIES,https://live.euronext.com/en/product/equities/FR0000120271-XPAR,FR0000120271,Euronext Paris,France
UNIBAIL-RODAMCO-WE,https://live.euronext.com/en/product/equities/FR0013326246-XPAR,FR0013326246,Euronext Paris,France
VEOLIA ENVIRON.,https://live.euronext.com/en/product/equities/FR0000124141-XPAR,FR0000124141,Euronext Paris,France
VINCI,https://live.euronext.com/en/product/equities/FR0000125486-XPAR,FR0000125486,Euronext Paris,France
WORLDLINE,https://live.euronext.com/en/product/equities/FR0011981968-XPAR,FR0011981968,Euronext Paris,France
