Component,Component URL,ISIN,Trading Location,Issuer Country
A2A,https://live.euronext.com/en/product/equities/IT0001233417-MTAA,IT0001233417,Euronext Milan,Italy
ACEA,https://live.euronext.com/en/product/equities/IT0001207098-MTAA,IT0001207098,Euronext Milan,Italy
AMPLIFON,https://live.euronext.com/en/product/equities/IT0004056880-MTAA,IT0004056880,Euronext Milan,Italy
BANCA GENERALI,https://live.euronext.com/en/product/equities/IT0001031084-MTAA,IT0001031084,Euronext Milan,Italy
BANCA MEDIOLANUM,https://live.euronext.com/en/product/equities/IT0004776628-MTAA,IT0004776628,Euronext Milan,Italy
BANCO BPM,https://live.euronext.com/en/product/equities/IT0005218380-MTAA,IT0005218380,Euronext Milan,Italy
BPER BANCA,https://live.euronext.com/en/product/equities/IT0000066123-MTAA,IT0000066123,Euronext Milan,Italy
BREMBO,https://live.euronext.com/en/product/equities/IT0005252728-MTAA,IT0005252728,Euronext Milan,Italy
CAMPARI,https://live.euronext.com/en/product/equities/NL0015435975-MTAA,NL0015435975,Euronext Milan,Netherlands
CNH INDUSTRIAL,https://live.euronext.com/en/product/equities/NL0010545661-MTAA,NL0010545661,Euronext Milan,Netherlands
ENEL,https://live.euronext.com/en/product/equities/IT0003128367-MTAA,IT0003128367,Euronext Milan,Italy
ENI,https://live.euronext.com/en/product/equities/IT0003132476-MTAA,IT0003132476,Euronext Milan,Italy
ERG,https://live.euronext.com/en/product/equities/IT0001157020-MTAA,IT0001157020,Euronext Milan,Italy
FERRARI,https://live.euronext.com/en/product/equities/NL0011585146-MTAA,NL0011585146,Euronext Milan,Netherlands
FINECOBANK,https://live.euronext.com/en/product/equities/IT0000072170-MTAA,IT0000072170,Euronext Milan,Italy
GENERALI ASS,https://live.euronext.com/en/product/equities/IT0000062072-MTAA,IT0000062072,Euronext Milan,Italy
HERA,https://live.euronext.com/en/product/equities/IT0001250932-MTAA,IT0001250932,Euronext Milan,Italy
INTESA SANPAOLO,https://live.euronext.com/en/product/equities/IT0000072618-MTAA,IT0000072618,Euronext Milan,Italy
IREN,https://live.euronext.com/en/product/equities/IT0003027817-MTAA,IT0003027817,Euronext Milan,Italy
ITALGAS,https://live.euronext.com/en/product/equities/IT0005211237-MTAA,IT0005211237,Euronext Milan,Italy
LEONARDO,https://live.euronext.com/en/product/equities/IT0003856405-MTAA,IT0003856405,Euronext Milan,Italy
MEDIOBANCA,https://live.euronext.com/en/product/equities/IT0000062957-MTAA,IT0000062957,Euronext Milan,Italy
MONCLER,https://live.euronext.com/en/product/equities/IT0004965148-MTAA,IT0004965148,Euronext Milan,Italy
NEXI,https://live.euronext.com/en/product/equities/IT0005366767-MTAA,IT0005366767,Euronext Milan,Italy
OVS,https://live.euronext.com/en/product/equities/IT0005043507-MTAA,IT0005043507,Euronext Milan,Italy
PIRELLI & C,https://live.euronext.com/en/product/equities/IT0005278236-MTAA,IT0005278236,Euronext Milan,Italy
POSTE ITALIANE,https://live.euronext.com/en/product/equities/IT0003796171-MTAA,IT0003796171,Euronext Milan,Italy
PRYSMIAN,https://live.euronext.com/en/product/equities/IT0004176001-MTAA,IT0004176001,Euronext Milan,Italy
RECORDATI ORD,https://live.euronext.com/en/product/equities/IT0003828271-MTAA,IT0003828271,Euronext Milan,Italy
REPLY,https://live.euronext.com/en/product/equities/IT0005282865-MTAA,IT0005282865,Euronext Milan,Italy
SAIPEM,https://live.euronext.com/en/product/equities/IT0005495657-MTAA,IT0005495657,Euronext Milan,Italy
SNAM,https://live.euronext.com/en/product/equities/IT0003153415-MTAA,IT0003153415,Euronext Milan,Italy
STELLANTIS,https://live.euronext.com/en/product/equities/NL00150001Q9-MTAA,NL00150001Q9,Euronext Milan,Netherlands
STMICROELECTRONICS,https://live.euronext.com/en/product/equities/NL0000226223-MTAA,NL0000226223,Euronext Milan,Netherlands
TELECOM ITALIA,https://live.euronext.com/en/product/equities/IT0003497168-MTAA,IT0003497168,Euronext Milan,Italy
TERNA,https://live.euronext.com/en/product/equities/IT0003242622-MTAA,IT0003242622,Euronext Milan,Italy
UNICREDIT,https://live.euronext.com/en/product/equities/IT0005239360-MTAA,IT0005239360,Euronext Milan,Italy
UNIPOL,https://live.euronext.com/en/product/equities/IT0004810054-MTAA,IT0004810054,Euronext Milan,Italy
UNIPOLSAI,https://live.euronext.com/en/product/equities/IT0004827447-MTAA,IT0004827447,Euronext Milan,Italy
WEBUILD,https://live.euronext.com/en/product/equities/IT0003865570-MTAA,IT0003865570,Euronext Milan,Italy
