company,URL,PIB,Full name,Address
JUGOPETROL,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/jugopetrol,02013258,JUGOPTROL A.D PODGORICA,"Stanka Dragojevića bb, Podgorica"
KARTONAŽA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/kartonaza,02004836,"""KARTONAŽA"" A.D CETINJE CRNOGORSKIH JUNAKA B.B.","CETINJE, Crna Gora"
KIPS-POLIMKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/kips-polimka,02012081,KIPS - POLIMKA U STEČAJU,"RUDEŠ BB, BERANE, Crna Gora"
KNJIGOPROMET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/knjigopromet,02004046,KNJIGOPROMET A.D  BIJELO POLJE INDUSTRIJSKA BB,"BIJELO POLJE, Crna Gora"
KOMPAS SERVIS,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/kompas-servis,02291797,KOMPAS- SERVIS A.D,"ZATON BB, BIJELO POLJE, Crna Gora"
KOMPAS-ARMING,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/kompas-arming,02291754,KOMPAS-ARMING A.D,"BIJELO POLJE ZATON B.B., BIJELO POLJE, Crna Gora"
KOTOR - PROJEKT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/kotor-projekt,02063123,"KOTOR- PROJEKT"" A.D.","PUT PRVOBORACA ŠKALJARI bb, KOTOR, Crna Gora"
LENKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/lenka,02004186,LENKA U STEČAJU A.D.  BIJELO POLJE,"INDUSTRIJSKA BB, BIJELO POLJE, Crna Gora"
KRISTAL,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/kristal,02043254,KRISTAL A.D ROŽAJE,"INDUSTRIJSKA ZONA ZELENI BB, ROŽAJE, Crna Gora"
LOVĆEN - ŽIVOTNA OSIGURANJA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/lovcen-zivotna-osiguranja,02815745,LOVĆEN-ŽIVOTNA OSIGURANJA,"Marka Miljanova 29/III, PODGORICA, Crna Gora"
LOVĆEN BANKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/lovcen-banka,02829541,Lovćen banka ad Podgorica,"Bulevar Džordža Vašingtona 56/I, PODGORICA, Crna Gora"
LIMIT PRIME SECURITIES,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/limit-prime-securities,03138933,"LIMIT PRIME SECURITIES BROKER, DILER, INVESTICIONI MENADŽER a.d. Podgorica","8. Mart 55, PODGORICA, Crna Gora"
LOVĆEN OSIGURANJE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/lovcen-osiguranje,02018560,LOVĆEN OSIGURANJE PODGORICA,"UL. SLOBODE 13.A, PODGORICA, Crna Gora"
MADŽGALJ KOMPANY,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/madzgalj-kompany,02303787,MADŽGALJ KOMPANI A.D,"Medanovići b.b., Bijelo Polje, Crna Gora"
MAGISTRALA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/magistrala,02260085,USU MAGISTRALA A.D. Mojkovac,"MOJKOVAČKIH JUNAKA B.B., MOJKOVAC, Crna Gora"
MARGOMARKET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/margomarket,02117495,MARGOMARKET A.D PODGORICA,"RADOMIRA IVANOVIĆA 2, PODGORICA, Crna Gora"
MARINA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/marina,02333155,MARINA A.D. BAR,"Obala ""13 Jula"" b.b., Bar, Crna Gora"
MEHANIZACIJA I PROGRAMAT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/mehanizacija-i-programat,02259648,MEHANIZACIJA I PROGRAMAT A.D,"VOJA DELETIĆA B.B., NIKŠIĆ, Crna Gora"
MARKET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/market,02371162,MARKET A.D,"GOLUBOVCI, PODGORICA, Crna Gora"
MERCUR SYSTEM,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/mercur-system,02305895,MERCUR SYSTEM,"Trg Sunca 10, BUDVA, Crna Gora"
MALJAT STONE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/maljatstone,02000466,MALJAT STONE A.D DANILOVGRAD,"DRUGE DALMATINSKE B.B., Danilovgrad, Crna Gora"
LUKA KOTOR,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/luka-kotor,02044188,LUKA KOTOR A.D.,"PARK SLOBODE 1, KOTOR, Crna Gora"
MESOPROMET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/mesopromet,02268426,MESOPROMET A.D PODGORICA,"UL. 8 MARTA 76, PODGORICA, Crna Gora"
LUČ - BIRO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/luc-biro,02278774,LUČ-BIRO A.D BERANE,"DUŠANA VUJOŠEVIĆA 14, BERANE, Crna Gora"
LUKA BAR,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/luka-bar,02002558,LUKA BAR A.D BAR,"OBALA 13. JULA BB., BAR, Crna Gora"
MIMOZA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/mimoza,02008564,"HTP "" MIMOZA""  A.D. TIVAT","OBALA BB, TIVAT, Crna Gora"
MIG,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/mig,02359502,"Društvo za menadžment poslove i upravljanje nekretninama ""MIG""","Bul. Džordža Vašingtona 3/19 3/19, PODGORICA, Crna Gora"
MISTICOM,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/misticom,02256452,MISTICOM akcionarsko društvo za trgovinu na veliko i malo,"OKTOBARSKE REVOLUCIJE 11, PODGORICA, Crna Gora"
LUŠTICA DEVELOPMENT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/lustica-development,02744597,LUŠTICA DEVELOPMENT AD,"Radovići bb, TIVAT, Crna Gora"
LUTRIJA CRNE GORE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/lutrija-crne-gore,02019230,LUTRIJA CRNE GORE A.D,"PC Kruševac, Rimski trg 50, PODGORICA, Crna Gora"
LOVĆENINVEST,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/lovceninvest,02017555,"""LOVĆENINVEST ""A.D. Podgorica","II Crnogorskog bataljona br.2i, PODGORICA, Crna Gora"
METAL PRODUKT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/metal-produkt,02091747,METALPRODUKT A.D,"JADRANSKA 5, PODGORICA, Crna Gora"
