company,URL,PIB,Full name,Address
QUANTUM INVESTMENTS DZU,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/quantum-investments-dzu,03090663,QUANTUM INVESTMENTS," Ivana Vujoševića 2, Podgorica, Crna Gora"
RSI GLOBAL INVESTICIONO DRUŠTVO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/rsi-global,03393429,RSI GLOBAL INVESTICIONO DRUŠTVO A.D. PODGORICA,"Rimski Trg 4, 81000 PODGORICA"
RAČICA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/racica,02008629,"IGM ""RAČICA"" A.D TIVAT"," Brdišta b.b., TIVAT, Crna Gora"
TF CAPITAL,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/tf-capital,03448398,TF Capital," RIMSKI TRG 4, PODGORICA, Crna Gora"
RADNIK INVEST,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/radnik-invest,02291738,RADNIK  INVEST  A.D U STEČAJU," UL. NEDELJKA MERDOVIĆA BR.15, BIJELO POLJE, Crna Gora"
REPUBLIČKI ZAVOD ZA URBANIZAM I PROJEKTOVANJE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/republicki-zavod-za-urbanizam-i-projektovanje,02013690,REPUBLIČKI ZAVOD ZA URBANIZAM I PROJEKTOVANJE A.D.," BULEVAR REVOLUCIJE 2, Podgorica, Crna Gora"
RADOJE DAKIĆ,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/radoje-dakic,02014092,RADOJE DAKIĆ U STEČAJU A.D," Cetinjski put b.b., PODGORICA, Crna Gora"
RAŽNATOVIĆ CETINJE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/raznatovic-cetinje,02457679,"""RAŽNATOVIĆ CETINJE"""," NIKCA OD ROVINA BB, CETINJE, Crna Gora"
RADNIK KOMERC,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/radnik-komerc,02291762,RADNIK KOMERC A.D," UL.NEDELJKA MERDOVIĆA BR.15, BIJELO POLJE, Crna Gora"
RIBNJAK - BERANE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/ribnjak-berane,02280086,RIBNJAK A.D BERANE," D.VUJOŠEVIĆA 14-16, BERANE, Crna Gora"
RIBNJAK - NIKŠIĆ,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/ribnjak-niksic,02309009,RIBNJAK A.D NIKŠIĆ," Rastovac bb, NIKŠIĆ, Crna Gora"
13 Jul Plantaže,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/13-jul-plantaze,02016281,13 JUL- PLANTAŽE A.D,"Put Radomira Ivanovica br. 2, PODGORICA, Crna Gora"
RIVIERA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/riviera,02013134,"""RIVIERA"" ZA PROIZVODNJU I TRGOVINU A.D. KOTOR"," INDUSTRIJSKA ZONA BB, KOTOR, Crna Gora"
2. M.,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/2-m,02298228,2M A. D. ROŽAJE,"M. TITA BB, ROŽAJE, Crna Gora"
ROBNA KUĆA NIKŠIĆANKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/robna-kuca-niksicanka,02284766,"ROBNA KUĆA ""NIKŠIĆANKA"" A.D."," NJEGOŠEVA 20, NIKŠIĆ, Crna Gora"
ABSOLUTE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/absolute,02800390,"AD ""ABSOLUTE"" BAR","VLADIMIRA ROLOVIĆA BR.22, Bar, Crna Gora"
ROPLET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/roplet,02086930,ROPLET A.D ROŽAJE," NASELJE NAPRETKA, ROŽAJE, Crna Gora"
ADDIKO BANK,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/addiko-bank,02454190,ADDIKO BANK A.D,"Bulevar Sv.Petra Cetinjskog 143, PODGORICA, Crna Gora"
RUDNICI BOKSITA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/rudnici-boksita,02000687,RUDNICI BOKSITA U STEČAJU A.D. Nikšić," BULEVAR 13.JUL BR.30., Nikšić, Crna Gora"
AERODROMI CRNE GORE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/aerodromi-crne-gore,02305623,"Akcionarsko društvo za uslužne djelatnosti u vazdušnom saobraćaju ""AERODROMI CRNE GORE""","Aerodrom ph 202, Podgorica, Crna Gora"
AGROTRANSPORT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/agrotransport,02026341,AGROTRANSPORT D.D  PODGORICA,"4 JUL 54, Podgorica, Crna Gora"
RUDNIK UGLJA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/rudnik-uglja,02009501,RUDNIK UGLJA  A.D," Velimira Jakića 6, Pljevlja, Crna Gora"
SANITAS,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/sanitas,02010534,SANITAS  A.D  BIJELO POLJE," INDUSTRIJSABB, BIJELO POLJE, Crna Gora"
ALBATROS,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/albatros,02006154,HTP ALBATROS A.D ULCINJ,"STEVA ĐAKONOVIĆA b.b., ULCINJ, Crna Gora"
SAVA MONTENEGRO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/sava-montenegro,02303388,Akcionarsko društvo Sava osiguranje," Rimski trg 70, I sprat, PODGORICA, Crna Gora"
SERVISAGRO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/servisagro,02270790,SERVISAGRO ZA PROMET ROBA I USLUGA EXPORT IM. A.D," BRACANA BRACANOVIĆA 49, PODGORICA, Crna Gora"
SERVISTRANS,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/servistrans,02261871,SERVISTRANS A.D  ROŽAJE," INDUSTRIJSKA ZONA ""ZELENI"" BB, ROŽAJE, Crna Gora"
SI MONETA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/si-moneta,02404915,SI MONETA," BULEVAR LENJINA 99, PODGORICA, Crna Gora"
SINJAVINA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/sinjavina,02260298,"U.T.P."" SINJAVINA"" A.D. Mojkovac"," Trg Ljubomira Bakoča bb, MOJKOVAC, Crna Gora"
SI PROMET - L,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/si-promet-l,02417936,SI PROMET  L  A.D," BRATSTVA I JEDINSTVA 33, PODGORICA, Crna Gora"
SOLANA BAJO SEKULIĆ,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/solana-bajo-sekulic,02006596,"SOLANA"" BAJO SEKULIĆ"" A.D. ULCINJ U STEČAJU"," Solanski put bb, ULCINJ, Crna Gora"
SOCIETA ITALO MONTENEGRINA INVESTIMENTI,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/societa-italo-montenegrina-investimenti,02618834,SOCIETA ITALO MONENEGRINA INVESTIMENTI A.D," Jovana Tomaševića bb,Njegoševa 13,Opš.pg, Podgorica, Crna Gora"
SKI RESORT - KOLAŠIN 1450,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/ski-resort-kolasin-1450,02688778,SKI RESORT - KOLAŠIN 1450 A. D.," MOJKOVAČKA 20, KOLAŠIN, Crna Gora"
STADION,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/stadion,02021226,UGOSTITELJSKO PREDUZEĆE STADION DD. BERANE," MILJANA VUKOVA BB, BERANE, Crna Gora"
STARA TARA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/stara-tara,02820277,"HTPP ""STARA TARA"""," Velimira jakića 4, PLJEVLJA, Crna Gora"
ANDRIMER HELLAS,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/andrimer-hellas,02681633,ANDRIMER HELLAS AD,"ANDRIJEVICA, ANDRIJEVICA, Crna Gora"
SWISS OSIGURANJE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/swiss-osiguranje,02096064,"Osiguravajuće društvo ""SWISS OSIGURANJE""  A.D."," NOVAKA MILOŠEVA 6/II, Podgorica, Crna Gora"
ATLAS BANKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/atlas-banka,02348772,ATLAS BANKA A.D. - PODGORICA,"VAKA ĐUROVIĆA BB-sjeverna tribina, PODGORICA, Crna Gora"
ŠTAMPARIJA OBOD,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/stamparija-obod,02004704,"ŠTAMPARIJA ""OBOD"" A.D. Cetinje"," NJEGOŠEVA 3, Cetinje, Crna Gora"
ATLAS MONT DZU,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/atlas-mont-dzu,02322471,DRUŠTVO ZA UPRAVLJANJE PRIV INV FONDOM ATLAS MONT,"Stanka Dragojevića 4, PODGORICA, Crna Gora"
CITADEL GROUP,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/citadel-group,02774844,"""CITADEL GROUP""AD",UL. NOVAKA MILOŠEVA 37/1 PODGORICA
TEHNO BAZA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/tehno-baza,02001799,"""TEHNO BAZA"" NIKŠIĆ"," Kočani b.b., NIKŠIĆ, Crna Gora"
TARA - AEROSPACE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/tara-aerospace,02464691,TARA - AEROSPACE AD Mojkovac," UL VOJISLAVA ŠĆEPANOVIĆA bb, MOJKOVAC, Crna Gora"
ATLAS MONT ZIF,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/atlas-mont-zif,02359499,Zatvoreni investicioni fond  ATLAS  MONT   a.d. Podgorica,"Stanka Dragojevića 4, PODGORICA, Crna Gora"
BARSKA PLOVIDBA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/barska-plovidba,02324784,"""BARSKA PLOVIDBA"" A.D.  BAR","Obala ""13 Jula"" b.b., Bar, Crna Gora"
AUTOBOKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/autoboka,02013045,AUTOBOKA A.D KOTOR,"Put Prvoborca bb, KOTOR, Crna Gora"
TREND DZU,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/trend-dzu,02329000,DRUŠTVO ZA UPRAVLJANJE  INV. FONDOM TREND," NOVAKA MILOŠEVA 32, PODGORICA, Crna Gora"
BEAMAX,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/beamax,02009153,BEAMAX  A.D - BERANE,"POLIMSKA 1, BERANE, Crna Gora"
AUTOREMONT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/autoremont,02013061,AUTOREMONT AD Kotor Pred. Za opr.i održ drum mot v,"Put prvoboraca 188, KOTOR, Crna Gora"
TPC RAŽNATOVIĆ,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/tpc-raznatovic,02015501,"TP ""CENTAR RAŽNATOVIĆ ""ZA PROMET A.D"," TRG REPUBLIKE bb, PODGORICA, Crna Gora"
AUTOREMONT OSMANAGIĆ,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/autoremont-osmanagic,02117916,"""AUTOREMONT OSMANAGIĆ"" A.D  PODGORICA","4 JUL BB, PODGORICA, Crna Gora"
TP CENTARKOŽA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/tp-centarkoza,02407744,TP CENTAR KOŽA," 8 MART 36, PODGORICA, Crna Gora"
TERMOPLAST,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/termoplast,02005794,"""TERMOPLAST U STEČAJU"""," GUSINJE GUSINJE, PLAV, Crna Gora"
BALCAN TELECOM - MNE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/balcan-telecom-mne,02723859,"""BALCAN TELECOM-MNE""","NOVAKA MILOŠEVA 10/3, PODGORICA, Crna Gora"
BJELASICA-RADA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/bjelasica-rada,02003899,BJELASICA  RADA A.D. u stečaju,"INDUSTRIJSKA BB, BIJELO POLJE, Crna Gora"
TRŽNI CENTAR,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/trzni-centar,02260301,TRŽNI CENTAR A.D MOJKOVAC," Mališe Damjanovića bb, Mojkovac, Crna Gora"
TREND KORALI,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/trend-korali,02774852,"""TREND KORALI"" AD"," OBALA IVA NOVAKOVIĆA BB, BAR, Crna Gora"
TREND FZU,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/trend-fzu,02360675,Zatvoreni investicioni fond TREND," Marka Miljanova 46, PODGORICA, Crna Gora"
BOKSITI,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/boksiti,02004585,BOKSITI A.D CETINJE,"SANKOVA GOMILA B.B., CETINJE, Crna Gora"
BOKAKOMERC,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/bokakomerc,02269104,Bokakomerc A.D KOTOR,"85318 RADANOVIĆI, KOTOR, Crna Gora"
TRGOTEKSTIL,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/trgotekstil,02284774,TRGOTEKSTIL U STEČAJU A.D," ŠKOLSKA BB-KLIČEVO, NIKŠIĆ, Crna Gora"
BEA CENTAR,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/bea-centar,02280094,USLUŽNI SERVIS A.D  BERANE,"DUŠANA VUJOŠEVIĆA 14, BERANE, Crna Gora"
BEPEK,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/bepek,02278847,BEPEK A.D BERANE,"D.VUJOŠEVIĆA 14-16, BERANE, Crna Gora"
BERANE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/berane,02009030,BERANE  A. D  BERANE,"VOJA MASLOVARIĆA BB, BERANE, Crna Gora"
TRGOCET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/trgocet,02315432,TRGOCET A.D CETINJE," BALŠIĆA PAZAR BB, CETINJE, Crna Gora"
BISERNICA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/bisernica,02691361,BISERNICA AD Rožaje,"Maršala Tita bb, ROŽAJE, Crna Gora"
TRGOKOOP,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/trgokoop,02117452,TRGOKOOP DD. PODGORICA," RADOMIRA IVANOVIĆA BR. 2, PODGORICA, Crna Gora"
TURIST BIRO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/turist-biro,02001276,TURIST BIRO A.D NIKŠIĆ," GOJKA GARČEVIĆA BR.1, NIKŠIĆ, Crna Gora"
TURJAK,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/turjak,02078660,TURJAK  D.D  ROŽAJE," MARŠALA TITA BB, ROŽAJE, Crna Gora"
ULCINJSKA RIVIJERA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/ulcinjska-rivijera,02006146,H.T.P ULCINJSKA RIVIJERA,"ULCINJ VELIKA PLAŽA B.B., ULCINJ, Crna Gora"
BRSKOVO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/brskovo,02003953,TUP BRSKOVO  U STEČAJU  BJELO POLJE,"UL. SLOBODE BR.9, Bijelo Polje, Crna Gora"
BUDVANSKA RIVIJERA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/budvanska-rivijera,02005328,"HOTELSKA  GRUPA "" BUDVANSKA RIVIJERA"" a.d. Budva","Trg Sunca 2, Budva, Crna Gora"
ULTEP,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/ultep,02043874,ULTEP A.D  ULCINJ," P FAH BR. 1VLADIMIR, ULCINJ, Crna Gora"
BULL AND BEAR BROKER,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/bull-and-bear-broker,02708256,"BULL AND BEAR BROKER,DILER, INVEST. SAVJETNIK","Novaka Miloševa 37/1, PODGORICA, Crna Gora"
VATROSTALNA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/vatrostalna,02021366,VATROSTALNA  A.D," DAJBABE B.B., PODGORICA, Crna Gora"
BUSINESSMONTENEGRO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/businessmontenegro,02117045,BUSINESSMONTENEGRO A.D. Podgorica,"Ljubljanska bb, (zgrada Montefarma), PODGORICA, Crna Gora"
UNIQA NEŽIVOTNO OSIGURANJE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/uniqa-nezivotno-osiguranje,02717557,"""UNIQA NEŽIVOTNO OSIGURANJE"""," Hercegovačka 12, Podgorica, Crna Gora"
BUTTERFLY FINANCE DZU,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/butterfly-finance-dzu,02998459,"DRUŠTVO ZA UPRAVLJANJE INVESTICIONIM FONDOM ""BUTTERFLY FINANCE"" AD PODGORICA","Marka Miljanova 46, Podgorica, Crna Gora"
BEAMEDIA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/beamedia,02278723,MALOPRODAJA A.D BERANE,"MOJSIJA ZEČEVIĆA 5, BERANE, Crna Gora"
UNIVERSAL CAPITAL BANK,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/universal-capital-bank,02684462,Universal Capital Bank AD," Stanka Dragojevića bb PC „Milenijum“, PODGORICA, Crna Gora"
VEKTRA BOKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/vektra-boka,02008238,"AD ZA HOTELIJERSTVO I TURIZAM ""VEKTRA -BOKA"""," MANASTIRSKA 8, Herceg Novi, Crna Gora"
C- VRAČAR,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/c-vracar,02008408,C VRAČAR A.D  HERCEG NOVI,"NJEGOŠEVA 46, HERCEG NOVI, Crna Gora"
UNIQA ŽIVOTNO OSIGURANJE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/uniqa-zivotno-osiguranje,02383136,UNIQA ŽIVOTNO OSIGURANJE," Hercegovačka 12, PODGORICA, Crna Gora"
CEMEX MONTENEGRO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/cemex-montenegro,02270803,CEMEX MONTENEGRO A.D.,"TC PALADA Serdara Jola Piletića BB, PODGORICA, Crna Gora"
C.G. PRODUKT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/c-g-produkt,02407752,C.G. PRODUKT,"8 MART36, PODGORICA, Crna Gora"
UTP TARA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/utp-tara,02290308,"UTP ""TARA"" AD"," KRALJA PETRA I B.B., PLJEVLJA, Crna Gora"
CASTELLO MONTENEGRO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/castello-montenegro,02010127,"""CASTELLO MONTENEGRO"" A.D. Pljevlja","RADOSAVAC BB, PLJEVLJA, Crna Gora"
VELEPRODAJA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/veleprodaja,02309025,VELEPRODAJA  A.D," ŠKOLSKA B.B., NIKŠIĆ, Crna Gora"
CENTAR ZA ODMOR REKREACIJU I LIJEČENJE IGALO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/centar-za-odmor-rekreaciju-i-lijecenje-igalo,02008173,CENTAR ZA ODMOR REKREACIJU I LIJEČENJE IGALO A.D,"SAVA ILIĆA BR. 7, Herceg Novi, Crna Gora"
VELIMPORT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/velimport,02266008,VELIMPORT A.D," BRACANA BRACANOVIĆA B.B., PODGORICA, Crna Gora"
VINOPROMET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/vinopromet,02007908,"T. P. ""VINOPROMET"" A.D. Herceg Novi"," SAVE  KOVAČEVIĆA  20, HERCEG NOVI, Crna Gora"
CENTROJADRAN,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/centrojadran,02185261,CENTROJADRAN A.D BAR,"JNA BR.4, BAR, Crna Gora"
ČELEBIĆ INVEST,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/celebicinvest,02015927,ČELEBIĆ INVEST A.D. PODGORICA,"Oktoih 2, PODGORICA, Crna Gora"
CG BROKER - DILER,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/cg-broker-diler,02254255,CG BROKER - DILER A.D,"Novaka Miloševa 12/II, PODGORICA, Crna Gora"
VIP BROKER DILER,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/vip-broker-diler,02448432,VIP BROKER-DILER," BULEVAR DŽ. VAŠINGTONA bb, PODGORICA, Crna Gora"
C-PROMET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/c-promet,02315459,C  PROMET,"BALŠIĆA PAZAR BB, CETINJE, Crna Gora"
CENTRALNO KLIRINŠKO DEPOZITARNO DRUŠTVO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/ckdd-2-2,02320924,CENTRALNO KLIRINŠKO DEPOZITARNO DRUŠTVO A.D,"Svetlane Kane Radević bb, PODGORICA, Crna Gora"
VELIKA PLAŽA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/velika-plaza,02018357,HTP VELIKA PLAŽA A.D ULCINJ," VELIKA PLAŽA, ULCINJ, Crna Gora"
CRNA GORA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/crna-gora,02046024,UTIP CRNA GORA A.D  PODGORICA,"Bul.Svetog Petra Cetinjskog 2, PODGORICA, Crna Gora"
WALL STREET BROKER,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/wall-street-broker,02669536,WALL STREET BROKER," Pod magistralom bb, BUDVA, Crna Gora"
WESTERN BALKAN CAPITAL,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/western-balkan-capital,02873303,WESTERN BALKAN CAPITAL," Bulevar Ivana Crnojevića 67, PODGORICA, Crna Gora"
CRNA GORA - INŽENJERING,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/crna-gora-inzenjering,02259672,INŽINJERING CRNA GORA A.D NIKŠIĆ,"BAJA PIVLJANINA 7/A, NIKŠIĆ, Crna Gora"
CRNAGORACOOP,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/crnagoracoop,02000326,CRNAGORACOOP  A.D  DANILOVGRAD,"Landža, PODGORICA, Crna Gora"
CRNAGORAPUT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/crnagoraput,02013703,CRNAGORAPUT A.D,"HERCEGOVAČKA 102, Podgorica, Crna Gora"
ZAPAD BANKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/zapad-banka,03032531,ZAPAD BANKA," Moskovska bb, Podgorica, Crna Gora"
WIENER STAEDTISCHE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/wiener-staedtische,02808102,WIENER STAEDTISCHE životno osiguranje Podgorica ad," Bulevar revolucije 50/1, Podgorica, Crna Gora"
CRNOGORSKA KOMERCIJALNA BANKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/crnogorska-komercijalna-banka,02239108,CRNOGORSKA KOMERCIJALNA BANKA A.D,"Ul. Moskovska bb, PODGORICA, Crna Gora"
CRNOGORSKI CEMENT PLJEVLJA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/crnogorski-cement-pljevlja,02923416,"""Crnogorski cement Pljevlja""","Otilovići b.b, Pljevlja, Crna Gora"
ZAVOD ZA IZGRADNJU BUDVA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/zavod-za-izgradnju-budva,02022672,ZAVOD ZA IZGRADNJU BUDVE A.D," TRG SUNCA 4, BUDVA, Crna Gora"
ZAŠTITA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/zastita,02015358,SUP ZAŠTITA U STEČAJU A.D  PODGORICA," Oktobarske revolucije 70, PODGORICA, Crna Gora"
CRNOGORSKA PLOVIDBA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/crnogorska-plovidba,02399849,CRNOGORSKA PLOVIDBA,"ŠKALJARI BB, KOTOR, Crna Gora"
ZAVOD ZA IZGRADNJU BARA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/zavod-za-izgradnju-bara,02002744,ZAVOD ZA IZGRADNJU BARA U STEČAJU A.D. Bar," VLADIMIRA ROLOVIĆA  F 2, BAR, Crna Gora"
ZETA FILM,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/zeta-film,02005263,"FILMSKO PREDUZEĆE ""ZETA FILM"" A.D. Budva"," MEDITERANSKA BR.4, BUDVA, Crna Gora"
ZETATRANS,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/zetatrans,02011468,"A.D. ""ZETATRANS"", Logističke usluge"," Ćemovsko polje bb, PODGORICA, Crna Gora"
CRNOGORSKI TELEKOM,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/crnogorski-telekom,02289377,CRNOGORSKI TELEKOM  A.D. PODGORICA,"Kralja Nikole br.2, Podgorica, Crna Gora"
CRNOGORSKI ELEKTROPRENOSNI SISTEM,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/crnogorski-elektroprenosni-sistem,02751372,"""CRNOGORSKI ELEKTROPRENOSNI SISTEM""A.D.","BULEVAR SV. PETRA CETINJSKOG BR.18, PODGORICA, Crna Gora"
DAIDO METAL KOTOR,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/daido-metal-kotor,02013053,DAIDO METAL KOTOR A.D.,"Industrijska zona b.b., KOTOR, Crna Gora"
ZIRAAT BANK MONTENEGRO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/ziraat-bank-montenegro,03048136,ZIRAAT BANK MONTENEGRO," Slobode bb, Podgorica, Crna Gora"
