Factoring company,URL,head office,Licence No,Executive director,Board of Directors
Monte Credit DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/microcredit-financial-institutions-mfis/monte-credit-doo-podgorica," ul. 8 marta 52, Podgorica", 0101-377/13-2 of 12 October 2005, LUKA PAVIĆEVIĆ,"MARINUS ARIE MAASKANT – Chairman of the Board
CONSTANTINOS KASAPIS
MARIA VICTORIA WITHAMS"
Montenegro Investments Credit DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/microcredit-financial-institutions-mfis/montenegro-investments-credit-doo-podgorica," Bulevar Svetog Petra Cetinjskog 141, Podgorica", 0101-303/3-2 of 12 March 2006, PREDRAG ĆETKOVIĆ,"ĐOKO KRIVOKAPIĆ
ŽANA KASALICA
ŽELJKO ĆORIĆ"
Ozmont DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/microcredit-financial-institutions-mfis/ozmont-doo-podgorica," Vuka Karadžića bb, Podgorica", 0101-303/3-2 of 1 March 2006, PREDRAG BOJOVIĆ,"NENAD NOVAKOVIĆ
FILIP STOJOVIĆ
DALIDA BOJOVIĆ"
Alter Modus DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/microcredit-financial-institutions-mfis/alter-modus-doo-podgorica," Vučedolska br. 15, Podgorica", 0101-323/14-2 of 22 December 2008, ANA KENTERA,"PIETER KOOI
MARK SEMEIJNS DE VRIES VAN DOESBURGH
LUKA ĐUROVIĆ – Chairman of the Board
DŽELILA HUREMOVIĆ
ANDRIJA LOMPAR"
Klikloan DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/microcredit-financial-institutions-mfis/klikloan-doo-podgorica," Bracana Bracanovića no 49, Podgorica", 0101-382/2-11 of 28 February 2007, SANDRA KLIKOVAC BOGAVAC,"GORAN KNEŽEVIĆ - Chairman of the Board
MILEVA MAROJEVIĆ
MILENA KLIKOVAC MAŠANOVIĆ"
Capital-Invest DOO Berane,https://cbcg.me/en/core-functions/supervision/financial-service-providers/microcredit-financial-institutions-mfis/capitalinvest-doo-berane," 13. jula bb, Berane", 0101-1645-2/2017 of 27.02.2017, SANJA FATIĆ,"PREDRAG JOVANOVIĆ – Chairman of the Board
ANDRIJA PAVIĆEVIĆ
VITOMIR JOKSIMOVIĆ"
Moj Kredit DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/microcredit-financial-institutions-mfis/moj-kredit-doo-podgorica," ul. Vuka Karadžića bb, Podgorica", 0101-10647-4/2019 of 16 December 2019, SINIŠA NOVAKOVIĆ,"ANA KOĆALO
NEDELJKO ŠUŠKAVČEVIĆ
IGOR BUDISAVLJEVIĆ"
LABOR DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/microcredit-financial-institutions-mfis/labor-doo-podgorica," Vuka Karadžića broj 5, Podgorica", 0101-4260-2/2020 of 9 July 2020, NENAD RADULOVIĆ,"BOSE TATAR – Chairman of the Board
MILORAD ĐUROVIĆ
PREDRAG MARKOVIĆ"
