Factoring company,URL,head office,Licence No,Executive director,Board of Directors
Foldana Financial DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/companies-for-purchase-of-receivables/foldana-financial-doo-podgorica," Cetinjski put 11, PC 1, VII floor, The Capital Plaza, Podgorica", 0101-10647-3/2019 of 16 December 2019, ROBERT BALLA,"ROBERT BALLA
RICHARD  NAGY ZSOLT
KRISZTINA SZUCSNE HEGELY"
NLB Crna Gora DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/companies-for-purchase-of-receivables/nlb-crna-gora-doo-podgorica," Džordža Vašingtona 102, II floor / 38, Podgorica", 0101-6359-2/2021 of 28 September 2021, GORAN LALIĆEVIĆ,"JEAN-DAVID BARNEZET LIORT
JANJA LINHART
PETRA MEJAČ"
ODM Asset DOO Podgorica,https://cbcg.me/en/core-functions/supervision/financial-service-providers/companies-for-purchase-of-receivables/odm-asset-doo-podgorica," 56, Podgorica", 0101-5344-4/2022 of 21 July 2022, DRAŽEN STEVANOVIĆ,"MARIN GLIGO - Chairman
DEJAN DRAGOJEVIĆ
DRAŽEN STEVANOVIĆ"
