Name of municipalities,Name of the mayor,Contact
Naftalan Bələdiyyəsi,Verdiyev Elman Elim oğlu,(022)352-32-00
Qaşaltı Qaraqoyunlu Bələdiyyəsi,Yusifov Emin Kərəm oğlu,(022)249-71-29
