Surname/Firstname,role
Orucov Seymur Vaqif oğlu,chairman
Hüseynov Müşfiq Məmmədqulu oğlu,member
Hacıyev İlqar Tofiq oğlu,member
Eyyubova Lalə Sücayət qızı,member
Cəfərov Anar Novruz oğlu,member
Xəlilov Vüqar Qurban oğlu,member
Kərimov Mirzə İnqilab oğlu,member
Qurbanov Şahhüseyn İmamqulu oğlu,member
Mustafayev Sənan Abış oğlu,member
Budaqova Sənəm Nəsib qızı,member
Qəmbərov Asif Yusif oğlu,member
Əliyev İbrahim Məmmədrza oğlu,member
Kərimov Vüqar Əsəd oğlu,member
